,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,train_avg_accuracy,train_avg_recall,train_avg_specificity,train_avg_f1,train_avg_precision,train_std_accuracy,train_std_recall,train_std_specificity,train_std_f1,train_std_precision,test_accuracy,test_recall,test_specificity,test_f1,test_precision,threshold,alpha_h,alpha_p,train_dataset_accuracy,test_dataset_accuracy
0,150,0.325,0.2,0.1,70,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.012742749857031334,0.7222 (143/198),0.6724 (39/58)
0,38,1.0,0.4,1.0,50,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.012742749857031334,0.7222 (143/198),0.6724 (39/58)
0,1,0.1,0.4,0.1,9,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,75,0.55,0.1,0.775,,0.42948717948717946,0.2,0.7818181818181819,0.14193548387096774,0.11000000000000001,0.06621022244993956,0.20000000000000004,0.19624575586293547,0.14193548387096772,0.11,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,150,0.1,0.4,0.1,90,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,38,0.325,0.5,0.775,10,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,112,0.775,0.30000000000000004,0.325,,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,150,0.55,0.1,0.1,9,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,150,1.0,0.4,0.775,3,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,150,0.1,0.1,0.55,,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,1,0.55,0.4,0.325,10,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,1,1.0,0.1,0.775,50,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,112,0.325,0.30000000000000004,0.775,1,0.49551282051282053,0.8,0.2,0.5638709677419355,0.44051282051282054,0.07090856313662862,0.20000000000000004,0.20000000000000004,0.14585362903792856,0.11881551620139438,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,38,0.1,0.1,1.0,,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,1,0.55,0.1,0.325,9,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,112,1.0,0.1,0.55,9,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,75,0.775,0.2,0.325,70,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,150,0.1,0.1,0.775,9,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,112,0.1,0.2,0.55,9,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,112,1.0,0.2,0.55,,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,150,1.0,0.5,0.1,1,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,1,0.1,0.4,1.0,10,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,75,0.1,0.5,0.325,9,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,1,0.775,0.30000000000000004,0.55,70,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,75,1.0,0.4,0.325,70,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,150,0.325,0.2,0.1,70,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,38,1.0,0.4,1.0,50,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.016237767391887217,0.7222 (143/198),0.6724 (39/58)
0,1,0.1,0.4,0.1,9,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,75,0.55,0.1,0.775,,0.42948717948717946,0.2,0.7818181818181819,0.14193548387096774,0.11000000000000001,0.06621022244993956,0.20000000000000004,0.19624575586293547,0.14193548387096772,0.11,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,150,0.1,0.4,0.1,90,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,38,0.325,0.5,0.775,10,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,112,0.775,0.30000000000000004,0.325,,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,150,0.55,0.1,0.1,9,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,150,1.0,0.4,0.775,3,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,150,0.1,0.1,0.55,,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,1,0.55,0.4,0.325,10,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,1,1.0,0.1,0.775,50,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,112,0.325,0.30000000000000004,0.775,1,0.49551282051282053,0.8,0.2,0.5638709677419355,0.44051282051282054,0.07090856313662862,0.20000000000000004,0.20000000000000004,0.14585362903792856,0.11881551620139438,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,38,0.1,0.1,1.0,,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,1,0.55,0.1,0.325,9,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,112,1.0,0.1,0.55,9,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,75,0.775,0.2,0.325,70,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,150,0.1,0.1,0.775,9,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,112,0.1,0.2,0.55,9,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,112,1.0,0.2,0.55,,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,150,1.0,0.5,0.1,1,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,1,0.1,0.4,1.0,10,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,75,0.1,0.5,0.325,9,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,1,0.775,0.30000000000000004,0.55,70,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,75,1.0,0.4,0.325,70,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,150,0.325,0.2,0.1,70,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,38,1.0,0.4,1.0,50,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.0206913808111479,0.7222 (143/198),0.6724 (39/58)
0,1,0.1,0.4,0.1,9,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,75,0.55,0.1,0.775,,0.42948717948717946,0.2,0.7818181818181819,0.14193548387096774,0.11000000000000001,0.06621022244993956,0.20000000000000004,0.19624575586293547,0.14193548387096772,0.11,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,150,0.1,0.4,0.1,90,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,38,0.325,0.5,0.775,10,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,112,0.775,0.30000000000000004,0.325,,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,150,0.55,0.1,0.1,9,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,150,1.0,0.4,0.775,3,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,150,0.1,0.1,0.55,,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,1,0.55,0.4,0.325,10,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,1,1.0,0.1,0.775,50,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,112,0.325,0.30000000000000004,0.775,1,0.49551282051282053,0.8,0.2,0.5638709677419355,0.44051282051282054,0.07090856313662862,0.20000000000000004,0.20000000000000004,0.14585362903792856,0.11881551620139438,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,38,0.1,0.1,1.0,,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,1,0.55,0.1,0.325,9,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,112,1.0,0.1,0.55,9,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,75,0.775,0.2,0.325,70,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,150,0.1,0.1,0.775,9,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,112,0.1,0.2,0.55,9,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,112,1.0,0.2,0.55,,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,150,1.0,0.5,0.1,1,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,1,0.1,0.4,1.0,10,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,75,0.1,0.5,0.325,9,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,1,0.775,0.30000000000000004,0.55,70,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,75,1.0,0.4,0.325,70,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,150,0.325,0.2,0.1,70,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,38,1.0,0.4,1.0,50,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.026366508987303583,0.7222 (143/198),0.6724 (39/58)
0,1,0.1,0.4,0.1,9,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.03359818286283781,0.7222 (143/198),0.6724 (39/58)
0,75,0.55,0.1,0.775,,0.42948717948717946,0.2,0.7818181818181819,0.14193548387096774,0.11000000000000001,0.06621022244993956,0.20000000000000004,0.19624575586293547,0.14193548387096772,0.11,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.03359818286283781,0.7222 (143/198),0.6724 (39/58)
0,150,0.1,0.4,0.1,90,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.03359818286283781,0.7222 (143/198),0.6724 (39/58)
0,38,0.325,0.5,0.775,10,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.03359818286283781,0.7222 (143/198),0.6724 (39/58)
0,112,0.775,0.30000000000000004,0.325,,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.03359818286283781,0.7222 (143/198),0.6724 (39/58)
0,150,0.55,0.1,0.1,9,0.4144871794871795,0.0,1.0,0.0,0.0,0.05661225488376457,0.0,0.0,0.0,0.0,0.5517241379310345,0.0,1.0,0.0,0.0,13.542668500733335,0.012742749857031334,0.03359818286283781,0.7222 (143/198),0.6724 (39/58)
0,150,1.0,0.4,0.775,3,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.012742749857031334,0.03359818286283781,0.7222 (143/198),0.6724 (39/58)
