,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,train_avg_accuracy,train_avg_recall,train_avg_specificity,train_avg_f1,train_avg_precision,train_std_accuracy,train_std_recall,train_std_specificity,train_std_f1,train_std_precision,test_accuracy,test_recall,test_specificity,test_f1,test_precision,threshold,alpha_h,alpha_p,train_dataset_accuracy,test_dataset_accuracy
0,4,0.55,0.01,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,5,0.55,0.01,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,1,0.775,0.01,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,2,0.775,0.01,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,3,0.775,0.01,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,4,0.775,0.01,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,5,0.775,0.01,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,1,1.0,0.01,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,2,1.0,0.01,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,3,1.0,0.01,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,4,1.0,0.01,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,5,1.0,0.01,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,1,0.1,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,2,0.1,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,3,0.1,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,4,0.1,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,5,0.1,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,1,0.325,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,2,0.325,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,3,0.325,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,4,0.325,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,5,0.325,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,1,0.55,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,2,0.55,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,3,0.55,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,4,0.55,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,5,0.55,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,1,0.775,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,2,0.775,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,3,0.775,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,4,0.775,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,5,0.775,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,1,1.0,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,2,1.0,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,3,1.0,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,4,1.0,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,5,1.0,0.1325,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,1,0.1,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,2,0.1,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,3,0.1,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,4,0.1,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,5,0.1,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,1,0.325,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,2,0.325,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,3,0.325,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,4,0.325,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,5,0.325,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,1,0.55,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,2,0.55,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,3,0.55,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,4,0.55,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,5,0.55,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,1,0.775,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,2,0.775,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,3,0.775,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,4,0.775,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,5,0.775,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,1,1.0,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,2,1.0,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,3,1.0,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,4,1.0,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,5,1.0,0.255,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,1,0.1,0.3775,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,2,0.1,0.3775,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,3,0.1,0.3775,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,4,0.1,0.3775,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,5,0.1,0.3775,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,1,0.325,0.3775,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,2,0.325,0.3775,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,3,0.325,0.3775,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,4,0.325,0.3775,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
0,5,0.325,0.3775,1,0.01,0.5855128205128205,1.0,0.0,0.7319869097709211,0.5855128205128205,0.05661225488376457,0.0,0.0,0.04624285464221801,0.05661225488376457,0.4482758620689655,1.0,0.0,0.6190476190476191,0.4482758620689655,13.542668500733335,0.01,0.01,0.7222 (143/198),0.6724 (39/58)
