,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,train_avg_accuracy,train_avg_recall,train_avg_specificity,train_avg_f1,train_avg_precision,train_std_accuracy,train_std_recall,train_std_specificity,train_std_f1,train_std_precision,test_accuracy,test_recall,test_specificity,test_f1,test_precision,threshold,alpha_h,alpha_p,train_dataset_accuracy,test_dataset_accuracy
0,1,0.55,0.4,0.325,10,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.016237767391887217,0.7333 (143/195),0.1475 (9/61)
0,1,1.0,0.1,0.775,50,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.016237767391887217,0.7333 (143/195),0.1475 (9/61)
0,112,0.325,0.30000000000000004,0.775,1,0.3487179487179487,0.2066666666666667,0.8,0.03241542092840283,0.21025641025641026,0.10049188688341242,0.19843834754849624,0.19999999999999998,0.020526418705422912,0.19768548992201418,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.016237767391887217,0.7333 (143/195),0.1475 (9/61)
0,38,0.1,0.1,1.0,,0.5076923076923077,0.0,0.9625,0.0,0.0,0.13209483971683342,0.0,0.0375,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.016237767391887217,0.7333 (143/195),0.1475 (9/61)
0,1,0.55,0.1,0.325,9,0.4769230769230769,1.0,0.0,0.5980623353744058,0.4769230769230769,0.12784564986992727,0.0,0.0,0.13929982968728294,0.12784564986992727,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,3.7461654328750007,0.012742749857031334,0.016237767391887217,0.7333 (143/195),0.1475 (9/61)
0,112,1.0,0.1,0.55,9,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.016237767391887217,0.7333 (143/195),0.1475 (9/61)
0,75,0.775,0.2,0.325,70,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.016237767391887217,0.7333 (143/195),0.1475 (9/61)
0,150,0.1,0.1,0.775,9,0.523076923076923,0.0,1.0,0.0,0.0,0.12784564986992725,0.0,0.0,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.016237767391887217,0.7333 (143/195),0.1475 (9/61)
0,112,0.1,0.2,0.55,9,0.523076923076923,0.0,1.0,0.0,0.0,0.12784564986992725,0.0,0.0,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.016237767391887217,0.7333 (143/195),0.1475 (9/61)
0,112,1.0,0.2,0.55,,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.016237767391887217,0.7333 (143/195),0.1475 (9/61)
0,150,1.0,0.5,0.1,1,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.016237767391887217,0.7333 (143/195),0.1475 (9/61)
0,1,0.1,0.4,1.0,10,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.016237767391887217,0.7333 (143/195),0.1475 (9/61)
0,75,0.1,0.5,0.325,9,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.016237767391887217,0.7333 (143/195),0.1475 (9/61)
0,1,0.775,0.30000000000000004,0.55,70,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.016237767391887217,0.7333 (143/195),0.1475 (9/61)
0,75,1.0,0.4,0.325,70,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.016237767391887217,0.7333 (143/195),0.1475 (9/61)
0,150,0.325,0.2,0.1,70,0.523076923076923,0.0,1.0,0.0,0.0,0.12784564986992725,0.0,0.0,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.016237767391887217,0.7333 (143/195),0.1475 (9/61)
0,38,1.0,0.4,1.0,50,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.016237767391887217,0.7333 (143/195),0.1475 (9/61)
0,1,0.1,0.4,0.1,9,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,75,0.55,0.1,0.775,,0.558974358974359,0.2,0.8,0.14838709677419354,0.11794871794871795,0.12493259194953672,0.20000000000000004,0.20000000000000004,0.1483870967741935,0.11794871794871793,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,150,0.1,0.4,0.1,90,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,38,0.325,0.5,0.775,10,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,112,0.775,0.30000000000000004,0.325,,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,150,0.55,0.1,0.1,9,0.523076923076923,0.0,1.0,0.0,0.0,0.12784564986992725,0.0,0.0,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,150,1.0,0.4,0.775,3,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,150,0.1,0.1,0.55,,0.523076923076923,0.0,1.0,0.0,0.0,0.12784564986992725,0.0,0.0,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,1,0.55,0.4,0.325,10,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,1,1.0,0.1,0.775,50,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,112,0.325,0.30000000000000004,0.775,1,0.3487179487179487,0.2066666666666667,0.8,0.03241542092840283,0.21025641025641026,0.10049188688341242,0.19843834754849624,0.19999999999999998,0.020526418705422912,0.19768548992201418,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,38,0.1,0.1,1.0,,0.5179487179487179,0.0,0.9875,0.0,0.0,0.12907397896054582,0.0,0.012499999999999999,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,1,0.55,0.1,0.325,9,0.4769230769230769,1.0,0.0,0.5980623353744058,0.4769230769230769,0.12784564986992727,0.0,0.0,0.13929982968728294,0.12784564986992727,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,112,1.0,0.1,0.55,9,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,75,0.775,0.2,0.325,70,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,150,0.1,0.1,0.775,9,0.523076923076923,0.0,1.0,0.0,0.0,0.12784564986992725,0.0,0.0,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,112,0.1,0.2,0.55,9,0.523076923076923,0.0,1.0,0.0,0.0,0.12784564986992725,0.0,0.0,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,112,1.0,0.2,0.55,,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,150,1.0,0.5,0.1,1,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,1,0.1,0.4,1.0,10,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,75,0.1,0.5,0.325,9,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,1,0.775,0.30000000000000004,0.55,70,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,75,1.0,0.4,0.325,70,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,150,0.325,0.2,0.1,70,0.523076923076923,0.0,1.0,0.0,0.0,0.12784564986992725,0.0,0.0,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,38,1.0,0.4,1.0,50,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.0206913808111479,0.7333 (143/195),0.1475 (9/61)
0,1,0.1,0.4,0.1,9,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,75,0.55,0.1,0.775,,0.558974358974359,0.2,0.8,0.14838709677419354,0.11794871794871795,0.12493259194953672,0.20000000000000004,0.20000000000000004,0.1483870967741935,0.11794871794871793,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,150,0.1,0.4,0.1,90,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,38,0.325,0.5,0.775,10,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,112,0.775,0.30000000000000004,0.325,,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,150,0.55,0.1,0.1,9,0.523076923076923,0.0,1.0,0.0,0.0,0.12784564986992725,0.0,0.0,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,150,1.0,0.4,0.775,3,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,150,0.1,0.1,0.55,,0.523076923076923,0.0,1.0,0.0,0.0,0.12784564986992725,0.0,0.0,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,1,0.55,0.4,0.325,10,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,1,1.0,0.1,0.775,50,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,112,0.325,0.30000000000000004,0.775,1,0.3487179487179487,0.2066666666666667,0.8,0.03241542092840283,0.21025641025641026,0.10049188688341242,0.19843834754849624,0.19999999999999998,0.020526418705422912,0.19768548992201418,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,38,0.1,0.1,1.0,,0.5179487179487179,0.0,0.9875,0.0,0.0,0.12907397896054582,0.0,0.012499999999999999,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,1,0.55,0.1,0.325,9,0.4769230769230769,1.0,0.0,0.5980623353744058,0.4769230769230769,0.12784564986992727,0.0,0.0,0.13929982968728294,0.12784564986992727,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,112,1.0,0.1,0.55,9,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,75,0.775,0.2,0.325,70,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,150,0.1,0.1,0.775,9,0.523076923076923,0.0,1.0,0.0,0.0,0.12784564986992725,0.0,0.0,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,112,0.1,0.2,0.55,9,0.523076923076923,0.0,1.0,0.0,0.0,0.12784564986992725,0.0,0.0,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,112,1.0,0.2,0.55,,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,150,1.0,0.5,0.1,1,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,1,0.1,0.4,1.0,10,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,75,0.1,0.5,0.325,9,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,1,0.775,0.30000000000000004,0.55,70,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,75,1.0,0.4,0.325,70,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,150,0.325,0.2,0.1,70,0.523076923076923,0.0,1.0,0.0,0.0,0.12784564986992725,0.0,0.0,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,38,1.0,0.4,1.0,50,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.026366508987303583,0.7333 (143/195),0.1475 (9/61)
0,1,0.1,0.4,0.1,9,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.03359818286283781,0.7333 (143/195),0.1475 (9/61)
0,75,0.55,0.1,0.775,,0.5641025641025641,0.2,0.8125,0.15081967213114755,0.12105263157894737,0.12535288781108014,0.20000000000000004,0.1875,0.15081967213114755,0.12105263157894736,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.03359818286283781,0.7333 (143/195),0.1475 (9/61)
0,150,0.1,0.4,0.1,90,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.03359818286283781,0.7333 (143/195),0.1475 (9/61)
0,38,0.325,0.5,0.775,10,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.03359818286283781,0.7333 (143/195),0.1475 (9/61)
0,112,0.775,0.30000000000000004,0.325,,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.03359818286283781,0.7333 (143/195),0.1475 (9/61)
0,150,0.55,0.1,0.1,9,0.523076923076923,0.0,1.0,0.0,0.0,0.12784564986992725,0.0,0.0,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.03359818286283781,0.7333 (143/195),0.1475 (9/61)
0,150,1.0,0.4,0.775,3,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.03359818286283781,0.7333 (143/195),0.1475 (9/61)
0,150,0.1,0.1,0.55,,0.523076923076923,0.0,1.0,0.0,0.0,0.12784564986992725,0.0,0.0,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.03359818286283781,0.7333 (143/195),0.1475 (9/61)
0,1,0.55,0.4,0.325,10,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.03359818286283781,0.7333 (143/195),0.1475 (9/61)
0,1,1.0,0.1,0.775,50,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.03359818286283781,0.7333 (143/195),0.1475 (9/61)
0,112,0.325,0.30000000000000004,0.775,1,0.3487179487179487,0.2066666666666667,0.8,0.03241542092840283,0.21025641025641026,0.10049188688341242,0.19843834754849624,0.19999999999999998,0.020526418705422912,0.19768548992201418,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.03359818286283781,0.7333 (143/195),0.1475 (9/61)
0,38,0.1,0.1,1.0,,0.5179487179487179,0.0,0.9875,0.0,0.0,0.12907397896054582,0.0,0.012499999999999999,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.03359818286283781,0.7333 (143/195),0.1475 (9/61)
0,1,0.55,0.1,0.325,9,0.4769230769230769,1.0,0.0,0.5980623353744058,0.4769230769230769,0.12784564986992727,0.0,0.0,0.13929982968728294,0.12784564986992727,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,3.7461654328750007,0.012742749857031334,0.03359818286283781,0.7333 (143/195),0.1475 (9/61)
0,112,1.0,0.1,0.55,9,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.03359818286283781,0.7333 (143/195),0.1475 (9/61)
0,75,0.775,0.2,0.325,70,0.27692307692307694,0.4,0.6,0.11951219512195121,0.07692307692307691,0.06353595740186599,0.24494897427831783,0.24494897427831783,0.09697997732717581,0.06486723405473598,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.03359818286283781,0.7333 (143/195),0.1475 (9/61)
0,150,0.1,0.1,0.775,9,0.523076923076923,0.0,1.0,0.0,0.0,0.12784564986992725,0.0,0.0,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.03359818286283781,0.7333 (143/195),0.1475 (9/61)
0,112,0.1,0.2,0.55,9,0.523076923076923,0.0,1.0,0.0,0.0,0.12784564986992725,0.0,0.0,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,3.7461654328750007,0.012742749857031334,0.03359818286283781,0.7333 (143/195),0.1475 (9/61)
